cas,chemical_name,wave,true_cameo_groups,original_selection_status,phase6_status,review134_status,final_decision,final_reason,in_A_426,in_B_259
10124-48-8,MERCURY AMMONIUM CHLORIDE,,42;47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
10294-26-5,SILVER SULFATE,,42;47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.9(diagnostic, Wave1파생)",True,False
1191-80-6,MERCURY OLEATE,,34;42;51;61,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (34, 42, 51, 61)은 유일하나 §10 실질근거 없음(자료없음뿐) — g)",True,False
1304-82-1,BISMUTH TELLURIDE,,42,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.98(diagnostic, Wave1파생)",True,False
10099-74-8,LEAD NITRATE,,43,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 분석화학 / 침전실험),True,True
7761-88-8,SILVER NITRATE,,43,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 분석화학 / 침전적정(할로겐 정량)),True,True
12057-74-8,MAGNESIUM PHOSPHIDE,,44,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
104-85-8,P-TOLUNITRILE,,45,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (45,)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarc)",True,False
105-56-6,ETHYL CYANOACETATE,,27;45,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (27, 45)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,False
100-02-7,4-NITROPHENOL,,46;55,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal)",True,False
10361-37-2,BARIUM CHLORIDE,,47,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 분석화학 / 황산염 침전정량),True,True
7447-40-7,POTASSIUM CHLORIDE,,47,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 물리화학 / 전도도/전기화학 셀),True,True
1002-89-7,AMMONIUM STEARATE,,47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
10025-73-7,CHROMIC CHLORIDE,,47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.9667(diagnostic, Wave1파생)",True,False
10101-63-0,LEAD IODIDE,,47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.9333(diagnostic, Wave1파생)",True,False
10102-50-8,FERROUS ARSENATE,,47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
7727-37-9,NITROGEN,,26;48;56,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
1271-28-9,NICKELOCENE,,49,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(49,) 물질 2종 전부 §10 실질근거 없음 — 그중 1순위지만 근거 자체가 )",True,True
13007-92-6,CHROMIUM CARBONYL,,49,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(49,) 물질 2종 중 2순위 + §10 실질근거 없음 — 제거해도 covera)",True,True
7722-64-7,POTASSIUM PERMANGANATE,,50,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 일반화학 / 산화환원 적정),True,True
7722-84-1,HYDROGEN PEROXIDE,,50;68,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 일반화학 / 산화환원반응(자기반응성 주의)),True,True
10034-81-8,MAGNESIUM PERCHLORATE,,50,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.8(diagnostic, Wave1파생)",True,False
10034-82-9,SODIUM CHROMATE TETRAHYDRATE,,50;61,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
10101-50-5,SODIUM PERMANGANATE,,50,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
10118-76-0,CALCIUM PERMANGANATE,,50,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.925(diagnostic, Wave1파생)",True,False
7782-44-7,OXYGEN,,50,KEEP_EMPIRICAL,,,KEEP_EMPIRICAL,§10 실측 1순위 기본물질(Phase1),True,True
7553-56-2,IODINE,,51,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 분석화학 / 요오드 적정),True,True
132259-10-0,"AIR, COMPRESSED",,50;51,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
10048-95-0,SODIUM ARSENATE HEPTAHYDRATE,,51;61,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
10102-49-5,FERRIC ARSENATE,,51;61,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.9(diagnostic, Wave1파생)",True,False
1303-28-2,ARSENIC PENTOXIDE,,5;15;51,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (5, 15, 51)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은)",True,False
1312-03-4,"MERCURIC SUBSULFATE, [SOLID]",,42;51;61,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (42, 51, 61)은 유일하나 §10 실질근거 없음(자료없음뿐) — group)",True,False
100-64-1,CYCLOHEXANONE OXIME,,52,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
105-64-6,DIISOPROPYL PEROXYDICARBONATE,,53,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
105-74-8,LAUROYL PEROXIDE,,53,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
131-52-2,SODIUM PENTACHLOROPHENATE,,16;54,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
101-18-8,3-HYDROXY-N-PHENYLANILINE,,14;55,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
10169-02-5,C.I. ACID RED 97,,17;55;61;66,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (17, 55, 61, 66)은 유일하나 §10 실질근거 없음(자료없음뿐) — g)",True,False
105-60-2,CAPROLACTAM,,12;56,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
106-87-6,1-VINYL-3-CYCLOHEXENE DIOXIDE,,26;56,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal)",True,False
112-02-7,HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,,47;57,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
1762-95-4,AMMONIUM THIOCYANATE,,58;60;68,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 무기화학 / 착물 색반응),True,True
10039-54-0,HYDROXYLAMINE SULFATE,,58;60,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
10026-17-2,COBALT FLUORIDE,,59;61,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
101-02-0,TRIPHENYL PHOSPHITE,,59;66,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.95(diagnostic, Wave1파생)",True,False
1333-74-0,HYDROGEN,,59,KEEP_EMPIRICAL,,,KEEP_EMPIRICAL,§10 실측 1순위 기본물질(Phase1),True,True
7758-98-7,CUPRIC SULFATE,,60,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 분석화학 / 착물형성/전기화학),True,True
7786-81-4,NICKEL SULFATE,,60,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 무기화학 / 착물합성),True,True
10031-13-7,LEAD(II) ARSENITE,,61,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (61,)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarc)",True,False
10102-20-2,SODIUM TELLURITE,,59;61,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
1344-00-9,SODIUM ALUMINOSILICATE,,61;62,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
1185-81-5,DIBUTYLTIN-BIS(LAURYL MERCAPTIDE),,49;63,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
12035-72-2,NICKEL SUBSULFIDE,,63,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
7220-79-3,METHYLENE BLUE TRIHYDRATE,,14;35;57;64,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
7772-98-7,SODIUM THIOSULFATE,,65,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 분석화학 / 요오드 적정 환원제),True,True
10192-30-0,"AMMONIUM BISULFITE, SOLID",,60;65;68,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
10196-04-0,AMMONIUM SULFITE,,60;65,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
10431-47-7,POTASSIUM SELENITE,,65,UNSUPPORTED,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
13718-59-7,BARIUM SELENITE,,65,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
13774-25-9,MAGNESIUM BISULFITE SOLUTION,,65;68,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
1071-83-6,GLYPHOSATE,,2;14;66,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
111-54-6,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS",,5;67,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (5, 67)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sca)",True,False
10043-01-3,"ALUMINUM SULFATE, SOLID",,60;68,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.9(diagnostic, Wave1파생)",True,False
7732-18-5,WATER,,68,KEEP_EMPIRICAL,,,KEEP_EMPIRICAL,§10 실측 1순위 기본물질(Phase1),True,True
7440-17-7,RUBIDIUM,,40,REVIEW,RETAIN_COVERAGE,,KEEP_COVERAGE,259 기준 재계산시 그룹40 대표물질 <=2종(누적효과),True,False
7440-23-5,SODIUM,,40,DUPLICATE,RETAIN_COVERAGE,,KEEP_COVERAGE,259 기준 재계산시 그룹40 대표물질 <=2종(누적효과),True,False
7440-46-2,CESIUM,,40,DUPLICATE,RETAIN_COVERAGE,,KEEP_COVERAGE,259 기준 재계산시 그룹40 대표물질 <=2종(누적효과),True,False
7440-32-6,"TITANIUM POWDER, DRY",,41;68,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, water)",True,True
7440-36-0,ANTIMONY POWDER,,41,REVIEW,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7440-39-3,BARIUM,,41,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7440-41-7,"BERYLLIUM COMPOUND, N.O.S.",,36;41,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
7440-43-9,CADMIUM,,41,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7440-45-1,"CERIUM, SLABS, INGOTS OR RODS",,41,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7440-47-3,CHROMIUM,,41,DUPLICATE,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
7440-48-4,COBALT,,41,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7440-58-6,"HAFNIUM POWDER, DRY",,41;68,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7440-62-2,VANADIUM (FUME OR DUST),,41,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7440-65-5,YTTRIUM,,41,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
7440-67-7,ZIRCONIUM POWDER WET,,41;68,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7440-70-2,CALCIUM,,41,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7440-74-6,INDIUM,,41,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
7782-49-2,SELENIUM POWDER,,41,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
8049-17-0,FERROSILICON,,41,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
13494-80-9,TELLURIUM,,42,REVIEW,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
15385-58-7,MERCUROUS BROMIDE,,42;47,REVIEW,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
15829-53-5,MERCURY OXIDE,,42;51,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(42, 51) 물질 2종 전부 §10 실질근거 없음 — 그중 1순위지만 근거 자)",True,True
21908-53-2,"MERCURIC OXIDE, [SOLID]",,42;51,DUPLICATE,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(42, 51) 물질 2종 중 2순위 + §10 실질근거 없음 — 제거해도 cov)",True,True
7439-92-1,LEAD,,42,DUPLICATE,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
7439-96-5,MANGANESE,,42,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7439-98-7,MOLYBDENUM,,42,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7440-06-4,PLATINUM,,42,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
7440-16-6,RHODIUM (METAL FUME),,42,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7440-22-4,SILVER,,42,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
7440-28-0,THALLIUM,,42,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7440-31-5,TIN,,42,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
7440-33-7,TUNGSTEN,,42,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7440-38-2,ARSENIC,,42,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7440-55-3,GALLIUM,,42,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7487-94-7,MERCURIC CHLORIDE,,42;60,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,True
7647-10-1,PALLADIUM CHLORIDE,,42;51;60,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
7774-29-0,MERCURY IODIDE,,42;59,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (42, 59)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,True
7783-33-7,"MERCURIC POTASSIUM IODIDE, [SOLID]",,42;60,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7783-35-9,MERCURIC SULFATE,,42;60,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
7783-36-0,MERCUROUS SULFATE,,42;60,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7789-47-1,MERCURIC BROMIDE,,42;47,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
10137-74-3,CALCIUM CHLORATE,,50;61;68,REVIEW,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
10326-21-3,MAGNESIUM CHLORATE,,50,REVIEW,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
10361-95-2,ZINC CHLORATE,,50,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
11084-85-8,CHLORINATED TRISODIUM PHOSPHATE,,50;61,REVIEW,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
1189-85-1,T-BUTYL CHROMATE,,50,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
1304-29-6,BARIUM PEROXIDE,,50;61,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
1305-79-9,CALCIUM PEROXIDE,,50;61,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
1309-60-0,LEAD DIOXIDE,,50,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
1313-60-6,SODIUM PEROXIDE,,18;50,REVIEW,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
1314-18-7,STRONTIUM PEROXIDE,,18;50,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
1314-22-3,ZINC PEROXIDE,,50,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
1314-62-1,VANADIUM PENTOXIDE,,50;60,REVIEW,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
1317-35-7,MANGANESE TETROXIDE,,50;61,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
1333-82-0,"CHROMIUM TRIOXIDE, ANHYDROUS",,15;50,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (15, 50)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,True
13446-10-1,AMMONIUM PERMANGANATE,,50;60,DUPLICATE,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
13450-97-0,STRONTIUM PERCHLORATE,,50,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
13477-10-6,"BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE",,50;61,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
13477-36-6,CALCIUM PERCHLORATE,,50,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
13530-65-9,ZINC CHROMATE,,50;61,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
13637-76-8,LEAD PERCHLORATE,,50,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
13765-19-0,CALCIUM CHROMATE,,50;61,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
13967-90-3,BARIUM BROMATE,,50,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
14018-95-2,ZINC DICHROMATE,,50;61,DUPLICATE,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,True
14307-35-8,LITHIUM CHROMATE,,50;61,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
14452-57-4,MAGNESIUM PEROXIDE,,50;61,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
14519-07-4,ZINC BROMATE,,50,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
14519-17-6,MAGNESIUM BROMATE,,50,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
146-84-9,"SILVER PICRATE, WETTED WITH NOT LESS THAN 30% WATER",,46;50;54;68,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (46, 50, 54, 68)은 유일하나 §10 실질근거 없음(자료없음뿐) — g)",True,True
14977-61-8,CHROMIUM OXYCHLORIDE,,32;50,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,True
