cas,chemical_name,true_cameo_groups,original_selection_status,phase6_status,review134_status,final_decision,dependency_class,dependency_reason
7440-50-8,COPPER,42,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
10112-91-1,MERCUROUS CHLORIDE,42;47,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10124-48-8,MERCURY AMMONIUM CHLORIDE,42;47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
10294-26-5,SILVER SULFATE,42;47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.9(diagnostic) — 대체물질로 못 메움
1191-80-6,MERCURY OLEATE,34;42;51;61,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1304-82-1,BISMUTH TELLURIDE,42,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.98(diagnostic) — 대체물질로 못 메움
10099-74-8,LEAD NITRATE,43,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7761-88-8,SILVER NITRATE,43,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
12057-74-8,MAGNESIUM PHOSPHIDE,44,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
104-85-8,P-TOLUNITRILE,45,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
105-56-6,ETHYL CYANOACETATE,27;45,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
100-02-7,4-NITROPHENOL,46;55,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10361-37-2,BARIUM CHLORIDE,47,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7447-40-7,POTASSIUM CHLORIDE,47,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
1002-89-7,AMMONIUM STEARATE,47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
10025-73-7,CHROMIC CHLORIDE,47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.9667(diagnostic) — 대체물질로 못 메움
10101-63-0,LEAD IODIDE,47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.9333(diagnostic) — 대체물질로 못 메움
10102-50-8,FERROUS ARSENATE,47,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
7727-37-9,NITROGEN,26;48;56,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
1271-28-9,NICKELOCENE,49,REVIEW,,,REVIEW,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
13007-92-6,CHROMIUM CARBONYL,49,REVIEW,,,REVIEW,D_not_observed,자동 안전필터로 못 거른 물질을 사람이 검토해 대체
7722-64-7,POTASSIUM PERMANGANATE,50,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7722-84-1,HYDROGEN PEROXIDE,50;68,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
10034-81-8,MAGNESIUM PERCHLORATE,50,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.8(diagnostic) — 대체물질로 못 메움
10034-82-9,SODIUM CHROMATE TETRAHYDRATE,50;61,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
10101-50-5,SODIUM PERMANGANATE,50,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
10118-76-0,CALCIUM PERMANGANATE,50,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.925(diagnostic) — 대체물질로 못 메움
7782-44-7,OXYGEN,50,KEEP_EMPIRICAL,,,KEEP_EMPIRICAL,A_unique_dependency,§10 전수조사(197종) 실측 1순위 반응 상대(물 등) 기본물질 보강
7553-56-2,IODINE,51,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
132259-10-0,"AIR, COMPRESSED",50;51,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
10048-95-0,SODIUM ARSENATE HEPTAHYDRATE,51;61,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
10102-49-5,FERRIC ARSENATE,51;61,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.9(diagnostic) — 대체물질로 못 메움
1303-28-2,ARSENIC PENTOXIDE,5;15;51,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1312-03-4,"MERCURIC SUBSULFATE, [SOLID]",42;51;61,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
100-64-1,CYCLOHEXANONE OXIME,52,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
105-64-6,DIISOPROPYL PEROXYDICARBONATE,53,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
105-74-8,LAUROYL PEROXIDE,53,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
131-52-2,SODIUM PENTACHLOROPHENATE,16;54,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
101-18-8,3-HYDROXY-N-PHENYLANILINE,14;55,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10169-02-5,C.I. ACID RED 97,17;55;61;66,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
105-60-2,CAPROLACTAM,12;56,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
106-87-6,1-VINYL-3-CYCLOHEXENE DIOXIDE,26;56,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
112-02-7,HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,47;57,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
1762-95-4,AMMONIUM THIOCYANATE,58;60;68,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
10039-54-0,HYDROXYLAMINE SULFATE,58;60,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10026-17-2,COBALT FLUORIDE,59;61,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
101-02-0,TRIPHENYL PHOSPHITE,59;66,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.95(diagnostic) — 대체물질로 못 메움
1333-74-0,HYDROGEN,59,KEEP_EMPIRICAL,,,KEEP_EMPIRICAL,A_unique_dependency,§10 전수조사(197종) 실측 1순위 반응 상대(물 등) 기본물질 보강
7758-98-7,CUPRIC SULFATE,60,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7786-81-4,NICKEL SULFATE,60,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
10031-13-7,LEAD(II) ARSENITE,61,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10102-20-2,SODIUM TELLURITE,59;61,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
1344-00-9,SODIUM ALUMINOSILICATE,61;62,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
1185-81-5,DIBUTYLTIN-BIS(LAURYL MERCAPTIDE),49;63,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
12035-72-2,NICKEL SUBSULFIDE,63,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
7220-79-3,METHYLENE BLUE TRIHYDRATE,14;35;57;64,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7772-98-7,SODIUM THIOSULFATE,65,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
10192-30-0,"AMMONIUM BISULFITE, SOLID",60;65;68,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10196-04-0,AMMONIUM SULFITE,60;65,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10431-47-7,POTASSIUM SELENITE,65,UNSUPPORTED,REVIEW,REVIEW_NOT_TESTED,REVIEW,C_redundant,"대표물질 13718-59-7로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)"
13718-59-7,BARIUM SELENITE,65,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
13774-25-9,MAGNESIUM BISULFITE SOLUTION,65;68,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1071-83-6,GLYPHOSATE,2;14;66,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
111-54-6,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS",5;67,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10043-01-3,"ALUMINUM SULFATE, SOLID",60;68,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.9(diagnostic) — 대체물질로 못 메움
7732-18-5,WATER,68,KEEP_EMPIRICAL,,,KEEP_EMPIRICAL,A_unique_dependency,§10 전수조사(197종) 실측 1순위 반응 상대(물 등) 기본물질 보강
7440-17-7,RUBIDIUM,40,REVIEW,RETAIN_COVERAGE,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7440-23-5,SODIUM,40,DUPLICATE,RETAIN_COVERAGE,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7440-46-2,CESIUM,40,DUPLICATE,RETAIN_COVERAGE,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7440-32-6,"TITANIUM POWDER, DRY",41;68,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,"실측 §10 위험관계 고빈도 그룹(위험관계=metal,water) 소속으로 무제한 편입"
7440-36-0,ANTIMONY POWDER,41,REVIEW,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
7440-39-3,BARIUM,41,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
7440-41-7,"BERYLLIUM COMPOUND, N.O.S.",36;41,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7440-43-9,CADMIUM,41,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,C_redundant,"대표물질 7440-47-3로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)"
7440-45-1,"CERIUM, SLABS, INGOTS OR RODS",41,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
7440-47-3,CHROMIUM,41,DUPLICATE,,,KEEP_EMPIRICAL,D_not_observed,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입
7440-48-4,COBALT,41,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
7440-58-6,"HAFNIUM POWDER, DRY",41;68,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 7440-32-6로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
7440-62-2,VANADIUM (FUME OR DUST),41,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,C_redundant,"대표물질 7440-47-3로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)"
7440-65-5,YTTRIUM,41,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,B_representative_substitutable,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)
7440-67-7,ZIRCONIUM POWDER WET,41;68,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 7440-32-6로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
7440-70-2,CALCIUM,41,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
7440-74-6,INDIUM,41,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,B_representative_substitutable,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)
7782-49-2,SELENIUM POWDER,41,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,C_redundant,"대표물질 7440-47-3로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)"
8049-17-0,FERROSILICON,41,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
13494-80-9,TELLURIUM,42,REVIEW,REVIEW,REVIEW_UNSUPPORTED,REVIEW,C_redundant,"대표물질 7439-92-1로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)"
15385-58-7,MERCUROUS BROMIDE,42;47,REVIEW,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 10112-91-1로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
15829-53-5,MERCURY OXIDE,42;51,REVIEW,,,REVIEW,D_not_observed,"실측 §10 위험관계 고빈도 그룹(위험관계=metal,oxidizer) 소속으로 무제한 편입"
21908-53-2,"MERCURIC OXIDE, [SOLID]",42;51,DUPLICATE,,,REVIEW,D_not_observed,"실측 §10 위험관계 고빈도 그룹(위험관계=metal,oxidizer) 소속으로 무제한 편입"
7439-92-1,LEAD,42,DUPLICATE,,,KEEP_EMPIRICAL,D_not_observed,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입
7439-96-5,MANGANESE,42,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 7439-92-1로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
7439-98-7,MOLYBDENUM,42,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 7439-92-1로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
7440-06-4,PLATINUM,42,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,B_representative_substitutable,대표물질 7439-92-1로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)
7440-16-6,RHODIUM (METAL FUME),42,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 7439-92-1로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
7440-22-4,SILVER,42,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,B_representative_substitutable,대표물질 7439-92-1로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)
7440-28-0,THALLIUM,42,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,"대표물질 7439-92-1로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=0.5)"
7440-31-5,TIN,42,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,B_representative_substitutable,대표물질 7439-92-1로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)
7440-33-7,TUNGSTEN,42,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 7439-92-1로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
7440-38-2,ARSENIC,42,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,"대표물질 7439-92-1로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)"
7440-55-3,GALLIUM,42,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,"대표물질 7439-92-1로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)"
7487-94-7,MERCURIC CHLORIDE,42;60,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입
7647-10-1,PALLADIUM CHLORIDE,42;51;60,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,"실측 §10 위험관계 고빈도 그룹(위험관계=metal,oxidizer) 소속으로 무제한 편입"
7774-29-0,MERCURY IODIDE,42;59,REVIEW,,,REVIEW,D_not_observed,"실측 §10 위험관계 고빈도 그룹(위험관계=metal,reducer) 소속으로 무제한 편입"
7783-33-7,"MERCURIC POTASSIUM IODIDE, [SOLID]",42;60,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,C_redundant,"대표물질 7487-94-7로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)"
7783-35-9,MERCURIC SULFATE,42;60,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,C_redundant,"대표물질 7487-94-7로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)"
7783-36-0,MERCUROUS SULFATE,42;60,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,C_redundant,"대표물질 7487-94-7로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)"
7789-47-1,MERCURIC BROMIDE,42;47,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 10112-91-1로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
10137-74-3,CALCIUM CHLORATE,50;61;68,REVIEW,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 7778-66-7로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
10326-21-3,MAGNESIUM CHLORATE,50,REVIEW,REVIEW,REVIEW_NOT_TESTED,REVIEW,C_redundant,"대표물질 20816-12-0로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)"
10361-95-2,ZINC CHLORATE,50,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,"대표물질 20816-12-0로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)"
11084-85-8,CHLORINATED TRISODIUM PHOSPHATE,50;61,REVIEW,REVIEW,REVIEW_UNSUPPORTED,REVIEW,B_representative_substitutable,대표물질 14018-95-2로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)
1189-85-1,T-BUTYL CHROMATE,50,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 20816-12-0로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
1304-29-6,BARIUM PEROXIDE,50;61,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 14018-95-2로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
1305-79-9,CALCIUM PEROXIDE,50;61,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 14018-95-2로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
1309-60-0,LEAD DIOXIDE,50,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,B_representative_substitutable,대표물질 20816-12-0로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)
1313-60-6,SODIUM PEROXIDE,18;50,REVIEW,REVIEW,REVIEW_NOT_TESTED,REVIEW,C_redundant,"대표물질 17014-71-0로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)"
1314-18-7,STRONTIUM PEROXIDE,18;50,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 17014-71-0로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
1314-22-3,ZINC PEROXIDE,50,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,B_representative_substitutable,대표물질 20816-12-0로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)
1314-62-1,VANADIUM PENTOXIDE,50;60,REVIEW,REVIEW,REVIEW_UNSUPPORTED,REVIEW,C_redundant,"대표물질 13446-10-1로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)"
1317-35-7,MANGANESE TETROXIDE,50;61,DUPLICATE,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 14018-95-2로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
1333-82-0,"CHROMIUM TRIOXIDE, ANHYDROUS",15;50,REVIEW,,,REVIEW,D_not_observed,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입
13446-10-1,AMMONIUM PERMANGANATE,50;60,DUPLICATE,,,KEEP_EMPIRICAL,D_not_observed,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입
13450-97-0,STRONTIUM PERCHLORATE,50,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 20816-12-0로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
13477-10-6,"BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE",50;61,DUPLICATE,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 14018-95-2로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=0.5)
13477-36-6,CALCIUM PERCHLORATE,50,DUPLICATE,REVIEW,REVIEW_UNSUPPORTED,REVIEW,B_representative_substitutable,대표물질 20816-12-0로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)
