cas_number,chemical_name,wave,original_candidate_source,selection_source,selection_reason,selection_evidence,csv_assigned_group_id,true_cameo_groups,risk_relation,section10_categories,coverage_role,pubchem_verified,safety_flag,in_eval_testset,collection_status,selection_status
102-08-9,THIOCARBANILIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::102-08-9::42615-29-2::t0;gold_pair.jsonl:pair::102-08-9::42615-29-2::t1;gold_pair.jsonl:pair::102-08-9::42615-29-2::t2,35,12;35;64,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
102-54-5,FERROCENE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::102-54-5::1066-33-7::t0;gold_pair.jsonl:pair::102-54-5::1066-33-7::t1;gold_pair.jsonl:pair::102-54-5::1066-33-7::t2,35,35;49,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
104-72-3,N-DECYLBENZENE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::104-72-3::105-16-8::t0;gold_pair.jsonl:pair::104-72-3::105-16-8::t1;gold_pair.jsonl:pair::104-72-3::105-16-8::t2,35,35,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
104-88-1,4-CHLOROBENZALDEHYDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::104-88-1::7440-21-3::t0;gold_pair.jsonl:pair::104-88-1::7440-21-3::t1;gold_pair.jsonl:pair::104-88-1::7440-21-3::t2,35,9;16;35,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
114-49-8,SCOPOLAMINE HYDROBROMIDE,wave1,pool_topup,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10102-49-5::114-49-8::t0;gold_pair.jsonl:pair::10102-49-5::114-49-8::t1;gold_pair.jsonl:pair::10102-49-5::114-49-8::t2,35,8;26;27;35;60,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
101-68-8,"DIPHENYLMETHANE-4,4&#39;-DIISOCYANATE",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::101-68-8::1310-73-2::t0;gold_pair.jsonl:pair::101-68-8::1310-73-2::t1;gold_pair.jsonl:pair::101-68-8::1310-73-2::t2,37,37,,no_data,scarce_group:37,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_COVERAGE
67-64-1,ACETONE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 유기화학 / 세척/추출 용매,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::12136-45-7::67-64-1::t0;gold_pair.jsonl:pair::12136-45-7::67-64-1::t1;gold_pair.jsonl:pair::12136-45-7::67-64-1::t2,38,38,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
117-39-5,QUERCETIN,wave1,pool_replacement_v2,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::10025-91-9::117-39-5::t0;gold_pair.jsonl:pair::10025-91-9::117-39-5::t1;gold_pair.jsonl:pair::10025-91-9::117-39-5::t2,38,38;55,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
119-53-9,BENZOIN,wave1,pool_replacement_v3_manual,manual_addition,자동 안전필터로 못 거른 물질을 사람이 검토해 대체,01_collection/backfill_round3_manual_picks.py | evaluation_data:gold_pair.jsonl:pair::119-53-9::7429-90-5::t0;gold_pair.jsonl:pair::119-53-9::7429-90-5::t1;gold_pair.jsonl:pair::119-53-9::7429-90-5::t2,38,8;35;38,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
102-01-2,ACETOACETANILIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::102-01-2::107-97-1::t0;gold_pair.jsonl:pair::102-01-2::107-97-1::t1;gold_pair.jsonl:pair::102-01-2::107-97-1::t2,38,12;13;38,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
106-51-4,BENZOQUINONE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::105-11-3::106-51-4::t0;gold_pair.jsonl:pair::105-11-3::106-51-4::t1;gold_pair.jsonl:pair::105-11-3::106-51-4::t2,38,38,,metal,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
107-70-0,4-METHOXY-4-METHYLPENTAN-2-ONE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair_abstain.jsonl:pair::101-05-3::107-70-0::t0;gold_pair_abstain.jsonl:pair::101-05-3::107-70-0::t1;gold_pair_abstain.jsonl:pair::101-05-3::107-70-0::t2,38,28;38,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
110-13-4,"2,5-HEXANEDIONE",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::110-13-4::7439-89-6::t0;gold_pair.jsonl:pair::110-13-4::7439-89-6::t1;gold_pair.jsonl:pair::110-13-4::7439-89-6::t2,38,38,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
16940-66-2,SODIUM BOROHYDRIDE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 유기화학 / 환원반응,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::1335-31-5::16940-66-2::t0;gold_pair.jsonl:pair::1335-31-5::16940-66-2::t1;gold_pair.jsonl:pair::1335-31-5::16940-66-2::t2,39,18;39;68,water,water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
102-67-0,TRIPROPYLALUMINUM,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10118-76-0::102-67-0::t0;gold_pair.jsonl:pair::10118-76-0::102-67-0::t1;gold_pair.jsonl:pair::10118-76-0::102-67-0::t2,39,39,,,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
7440-09-7,POTASSIUM,wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair_abstain.jsonl:pair::10102-49-5::7440-09-7::t0;gold_pair_abstain.jsonl:pair::10102-49-5::7440-09-7::t1;gold_pair_abstain.jsonl:pair::10102-49-5::7440-09-7::t2,40,40,metal,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
7439-93-2,LITHIUM,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::1002-89-7::7439-93-2::t0;gold_pair.jsonl:pair::1002-89-7::7439-93-2::t1;gold_pair.jsonl:pair::1002-89-7::7439-93-2::t2,40,40,metal,water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
7440-66-6,ZINC ASHES,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 물리화학 / 갈바니 전지(아연),01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::7440-66-6::7761-88-8::t0;gold_pair.jsonl:pair::7440-66-6::7761-88-8::t1;gold_pair.jsonl:pair::7440-66-6::7761-88-8::t2,41,41,metal,water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
7439-95-4,MAGNESIUM,wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::105-74-8::7439-95-4::t0;gold_pair.jsonl:pair::105-74-8::7439-95-4::t1;gold_pair.jsonl:pair::105-74-8::7439-95-4::t2,41,41,metal,water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
7440-02-0,NICKEL,wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::10102-20-2::7440-02-0::t0;gold_pair.jsonl:pair::10102-20-2::7440-02-0::t1;gold_pair.jsonl:pair::10102-20-2::7440-02-0::t2,41,41,metal,water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
7440-21-3,"SILICON POWDER, AMORPHOUS",wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::104-88-1::7440-21-3::t0;gold_pair.jsonl:pair::104-88-1::7440-21-3::t1;gold_pair.jsonl:pair::104-88-1::7440-21-3::t2,41,41,metal,water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
7440-25-7,TANTALUM (METAL AND OXIDE DUST),wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::13718-59-7::7440-25-7::t0;gold_pair.jsonl:pair::13718-59-7::7440-25-7::t1;gold_pair.jsonl:pair::13718-59-7::7440-25-7::t2,41,41,metal,water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
7429-90-5,"ALUMINUM POWDER, COATED",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::119-53-9::7429-90-5::t0;gold_pair.jsonl:pair::119-53-9::7429-90-5::t1;gold_pair.jsonl:pair::119-53-9::7429-90-5::t2,41,41,metal,water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
7439-89-6,"IRON, [POWDERED]",wave1,pool_topup,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::101-39-3::7439-89-6::t0;gold_pair.jsonl:pair::101-39-3::7439-89-6::t1;gold_pair.jsonl:pair::101-39-3::7439-89-6::t2,41,41,metal,water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
7440-50-8,COPPER,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 물리화학 / 갈바니 전지(구리),01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::10026-06-9::7440-50-8::t0;gold_pair.jsonl:pair::10026-06-9::7440-50-8::t1;gold_pair.jsonl:pair::10026-06-9::7440-50-8::t2,42,42,metal,water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
10112-91-1,MERCUROUS CHLORIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10112-91-1::10169-02-5::t0;gold_pair.jsonl:pair::10112-91-1::10169-02-5::t1;gold_pair.jsonl:pair::10112-91-1::10169-02-5::t2,42,42;47,metal,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10124-48-8,MERCURY AMMONIUM CHLORIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10124-48-8::102-01-2::t0;gold_pair.jsonl:pair::10124-48-8::102-01-2::t1;gold_pair.jsonl:pair::10124-48-8::102-01-2::t2,42,42;47,metal,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10294-26-5,SILVER SULFATE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10294-26-5::105-11-3::t0;gold_pair.jsonl:pair::10294-26-5::105-11-3::t1;gold_pair.jsonl:pair::10294-26-5::105-11-3::t2,42,42;47,metal,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
1191-80-6,MERCURY OLEATE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::1191-80-6::1305-62-0::t0;gold_pair.jsonl:pair::1191-80-6::1305-62-0::t1;gold_pair.jsonl:pair::1191-80-6::1305-62-0::t2,42,34;42;51;61,metal;oxidizer,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
1304-82-1,BISMUTH TELLURIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::1304-82-1::27176-87-0::t0;gold_pair.jsonl:pair::1304-82-1::27176-87-0::t1;gold_pair.jsonl:pair::1304-82-1::27176-87-0::t2,42,42,metal,no_data,,ERROR,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10099-74-8,LEAD NITRATE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 분석화학 / 침전실험,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::10099-74-8::107-97-1::t0;gold_pair.jsonl:pair::10099-74-8::107-97-1::t1;gold_pair.jsonl:pair::10099-74-8::107-97-1::t2,43,43,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
7761-88-8,SILVER NITRATE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 분석화학 / 침전적정(할로겐 정량),01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::7440-66-6::7761-88-8::t0;gold_pair.jsonl:pair::7440-66-6::7761-88-8::t1;gold_pair.jsonl:pair::7440-66-6::7761-88-8::t2,43,43,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
12057-74-8,MAGNESIUM PHOSPHIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::12057-74-8::12124-99-1::t0;gold_pair.jsonl:pair::12057-74-8::12124-99-1::t1;gold_pair.jsonl:pair::12057-74-8::12124-99-1::t2,44,44,,water,scarce_group:44,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_COVERAGE
104-85-8,P-TOLUNITRILE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10026-17-2::104-85-8::t0;gold_pair.jsonl:pair::10026-17-2::104-85-8::t1;gold_pair.jsonl:pair::10026-17-2::104-85-8::t2,45,45,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
105-56-6,ETHYL CYANOACETATE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::105-56-6::1344-00-9::t0;gold_pair.jsonl:pair::105-56-6::1344-00-9::t1;gold_pair.jsonl:pair::105-56-6::1344-00-9::t2,45,27;45,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
100-02-7,4-NITROPHENOL,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::100-02-7::109-53-5::t0;gold_pair.jsonl:pair::100-02-7::109-53-5::t1;gold_pair.jsonl:pair::100-02-7::109-53-5::t2,46,46;55,,metal,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10361-37-2,BARIUM CHLORIDE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 분석화학 / 황산염 침전정량,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::10361-37-2::27176-87-0::t0;gold_pair.jsonl:pair::10361-37-2::27176-87-0::t1;gold_pair.jsonl:pair::10361-37-2::27176-87-0::t2,47,47,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
7447-40-7,POTASSIUM CHLORIDE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 물리화학 / 전도도/전기화학 셀,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::105-56-6::7447-40-7::t0;gold_pair.jsonl:pair::105-56-6::7447-40-7::t1;gold_pair.jsonl:pair::105-56-6::7447-40-7::t2,47,47,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
1002-89-7,AMMONIUM STEARATE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::1002-89-7::7439-93-2::t0;gold_pair.jsonl:pair::1002-89-7::7439-93-2::t1;gold_pair.jsonl:pair::1002-89-7::7439-93-2::t2,47,47,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10025-73-7,CHROMIC CHLORIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10025-73-7::10026-13-8::t0;gold_pair.jsonl:pair::10025-73-7::10026-13-8::t1;gold_pair.jsonl:pair::10025-73-7::10026-13-8::t2,47,47,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10101-63-0,LEAD IODIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10101-63-0::103-80-0::t0;gold_pair.jsonl:pair::10101-63-0::103-80-0::t1;gold_pair.jsonl:pair::10101-63-0::103-80-0::t2,47,47,,no_data,,ERROR,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10102-50-8,FERROUS ARSENATE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10102-50-8::105-74-8::t0;gold_pair.jsonl:pair::10102-50-8::105-74-8::t1;gold_pair.jsonl:pair::10102-50-8::105-74-8::t2,47,47,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
7727-37-9,NITROGEN,reactive_basics,reactive_basics_tier1,section10_empirical,§10 전수조사(197종) 실측 1순위 반응 상대(물 등) 기본물질 보강,docs/decisions.md §1.2a-upd,48,26;48;56,,no_data,scarce_group:48,MISMATCH,NOT_CHECKED,False,COLLECTED,KEEP_COVERAGE
1271-28-9,NICKELOCENE,wave1,pool_replacement_v2,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::1271-28-9::506-87-6::t0;gold_pair.jsonl:pair::1271-28-9::506-87-6::t1;gold_pair.jsonl:pair::1271-28-9::506-87-6::t2,49,49,,no_data,,MATCH,REVIEWED_H351_KEPT(01_collection/backfill_round3_manual_picks.py),True,COLLECTED,REVIEW
13007-92-6,CHROMIUM CARBONYL,wave1,pool_replacement_v3_manual,manual_addition,자동 안전필터로 못 거른 물질을 사람이 검토해 대체,01_collection/backfill_round3_manual_picks.py | evaluation_data:gold_pair.jsonl:pair::10034-81-8::13007-92-6::t0;gold_pair.jsonl:pair::10034-81-8::13007-92-6::t1;gold_pair.jsonl:pair::10034-81-8::13007-92-6::t2,49,49,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
7722-64-7,POTASSIUM PERMANGANATE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 일반화학 / 산화환원 적정,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::13983-17-0::7722-64-7::t0;gold_pair.jsonl:pair::13983-17-0::7722-64-7::t1;gold_pair.jsonl:pair::13983-17-0::7722-64-7::t2,50,50,oxidizer,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
7722-84-1,HYDROGEN PEROXIDE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 일반화학 / 산화환원반응(자기반응성 주의),01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::108-60-1::7722-84-1::t0;gold_pair.jsonl:pair::108-60-1::7722-84-1::t1;gold_pair.jsonl:pair::108-60-1::7722-84-1::t2,50,50;68,oxidizer;water,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
10034-81-8,MAGNESIUM PERCHLORATE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10034-81-8::13007-92-6::t0;gold_pair.jsonl:pair::10034-81-8::13007-92-6::t1;gold_pair.jsonl:pair::10034-81-8::13007-92-6::t2,50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10034-82-9,SODIUM CHROMATE TETRAHYDRATE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10034-82-9::101-27-9::t0;gold_pair.jsonl:pair::10034-82-9::101-27-9::t1;gold_pair.jsonl:pair::10034-82-9::101-27-9::t2,50,50;61,oxidizer,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10101-50-5,SODIUM PERMANGANATE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10101-50-5::112-02-7::t0;gold_pair.jsonl:pair::10101-50-5::112-02-7::t1;gold_pair.jsonl:pair::10101-50-5::112-02-7::t2,50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10118-76-0,CALCIUM PERMANGANATE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10118-76-0::102-67-0::t0;gold_pair.jsonl:pair::10118-76-0::102-67-0::t1;gold_pair.jsonl:pair::10118-76-0::102-67-0::t2,50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
7782-44-7,OXYGEN,reactive_basics,reactive_basics_tier1,section10_empirical,§10 전수조사(197종) 실측 1순위 반응 상대(물 등) 기본물질 보강,docs/decisions.md §1.2a-upd,50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,KEEP_EMPIRICAL
7553-56-2,IODINE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 분석화학 / 요오드 적정,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::104-15-4::7553-56-2::t0;gold_pair.jsonl:pair::104-15-4::7553-56-2::t1;gold_pair.jsonl:pair::104-15-4::7553-56-2::t2,51,51,oxidizer,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
132259-10-0,"AIR, COMPRESSED",wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::1317-65-3::132259-10-0::t0;gold_pair.jsonl:pair::1317-65-3::132259-10-0::t1;gold_pair.jsonl:pair::1317-65-3::132259-10-0::t2,51,50;51,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
