cas,chemical_name,cameo_groups,wave,category,selection_reason,evidence_source,evidence_strength,decision,review_note
7440-50-8,COPPER,42,wave1,MANDATORY,커리큘럼 실사용 근거: 물리화학 / 갈바니 전지(구리),curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
10112-91-1,MERCUROUS CHLORIDE,42;47,wave1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: metal",msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
10124-48-8,MERCURY AMMONIUM CHLORIDE,42;47,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 4종과 역할 중복 가능: MERCUROUS CHLORIDE(10112-91-1); SILVER SULFATE(10294-26-5); MERCUROUS BROMIDE(15385-58-7); MERCURIC BROMIDE(7789-47-1)
10294-26-5,SILVER SULFATE,42;47,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 4종과 역할 중복 가능: MERCUROUS CHLORIDE(10112-91-1); MERCURY AMMONIUM CHLORIDE(10124-48-8); MERCUROUS BROMIDE(15385-58-7); MERCURIC BROMIDE(7789-47-1)
1191-80-6,MERCURY OLEATE,34;42;51;61,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
1304-82-1,BISMUTH TELLURIDE,42,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 13종과 역할 중복 가능: COPPER(7440-50-8); TELLURIUM(13494-80-9); LEAD(7439-92-1); MANGANESE(7439-96-5); MOLYBDENUM(7439-98-7); PLATINUM(7440-06-4); RHODIUM (METAL FUME)(7440-16-6); SILVER(7440-22-4); THALLIUM(7440-28-0); TIN(7440-31-5); TUNGSTEN(7440-33-7); ARSENIC(7440-38-2); GALLIUM(7440-55-3)
10099-74-8,LEAD NITRATE,43,wave1,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 침전실험,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
7761-88-8,SILVER NITRATE,43,wave1,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 침전적정(할로겐 정량),curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
12057-74-8,MAGNESIUM PHOSPHIDE,44,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
104-85-8,P-TOLUNITRILE,45,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
105-56-6,ETHYL CYANOACETATE,27;45,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
100-02-7,4-NITROPHENOL,46;55,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
10361-37-2,BARIUM CHLORIDE,47,wave1,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 황산염 침전정량,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
7447-40-7,POTASSIUM CHLORIDE,47,wave1,MANDATORY,커리큘럼 실사용 근거: 물리화학 / 전도도/전기화학 셀,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
1002-89-7,AMMONIUM STEARATE,47,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 5종과 역할 중복 가능: BARIUM CHLORIDE(10361-37-2); POTASSIUM CHLORIDE(7447-40-7); CHROMIC CHLORIDE(10025-73-7); LEAD IODIDE(10101-63-0); FERROUS ARSENATE(10102-50-8)
10025-73-7,CHROMIC CHLORIDE,47,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 5종과 역할 중복 가능: BARIUM CHLORIDE(10361-37-2); POTASSIUM CHLORIDE(7447-40-7); AMMONIUM STEARATE(1002-89-7); LEAD IODIDE(10101-63-0); FERROUS ARSENATE(10102-50-8)
10101-63-0,LEAD IODIDE,47,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 5종과 역할 중복 가능: BARIUM CHLORIDE(10361-37-2); POTASSIUM CHLORIDE(7447-40-7); AMMONIUM STEARATE(1002-89-7); CHROMIC CHLORIDE(10025-73-7); FERROUS ARSENATE(10102-50-8)
10102-50-8,FERROUS ARSENATE,47,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 5종과 역할 중복 가능: BARIUM CHLORIDE(10361-37-2); POTASSIUM CHLORIDE(7447-40-7); AMMONIUM STEARATE(1002-89-7); CHROMIC CHLORIDE(10025-73-7); LEAD IODIDE(10101-63-0)
7727-37-9,NITROGEN,26;48;56,reactive_basics,REPRESENTATIVE,CAMEO 그룹 48(Not Chemically Reactive agents) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)",INDEPENDENT,유지 권고,희소 그룹: 48(Not Chemically Reactive agents)
1271-28-9,NICKELOCENE,49,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 1종과 역할 중복 가능: CHROMIUM CARBONYL(13007-92-6)
13007-92-6,CHROMIUM CARBONYL,49,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 1종과 역할 중복 가능: NICKELOCENE(1271-28-9)
7722-64-7,POTASSIUM PERMANGANATE,50,wave1,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 산화환원 적정,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
7722-84-1,HYDROGEN PEROXIDE,50;68,wave1,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 산화환원반응(자기반응성 주의),curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
10034-81-8,MAGNESIUM PERCHLORATE,50,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); SODIUM PERMANGANATE(10101-50-5); CALCIUM PERMANGANATE(10118-76-0); OXYGEN(7782-44-7); MAGNESIUM CHLORATE(10326-21-3); ZINC CHLORATE(10361-95-2); T-BUTYL CHROMATE(1189-85-1); LEAD DIOXIDE(1309-60-0); ZINC PEROXIDE(1314-22-3); STRONTIUM PERCHLORATE(13450-97-0); CALCIUM PERCHLORATE(13477-36-6); LEAD PERCHLORATE(13637-76-8); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
10034-82-9,SODIUM CHROMATE TETRAHYDRATE,50;61,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 15종과 역할 중복 가능: CHLORINATED TRISODIUM PHOSPHATE(11084-85-8); BARIUM PEROXIDE(1304-29-6); CALCIUM PEROXIDE(1305-79-9); MANGANESE TETROXIDE(1317-35-7); BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE(13477-10-6); ZINC CHROMATE(13530-65-9); CALCIUM CHROMATE(13765-19-0); ZINC DICHROMATE(14018-95-2); LITHIUM CHROMATE(14307-35-8); MAGNESIUM PEROXIDE(14452-57-4); SODIUM CHLORITE(7758-19-2); LEAD CHROMATE(7758-97-6); POTASSIUM BICHROMATE(7778-50-9); POTASSIUM CHROMATE(7789-00-6); STRONTIUM CHROMATE(7789-06-2)"
10101-50-5,SODIUM PERMANGANATE,50,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); MAGNESIUM PERCHLORATE(10034-81-8); CALCIUM PERMANGANATE(10118-76-0); OXYGEN(7782-44-7); MAGNESIUM CHLORATE(10326-21-3); ZINC CHLORATE(10361-95-2); T-BUTYL CHROMATE(1189-85-1); LEAD DIOXIDE(1309-60-0); ZINC PEROXIDE(1314-22-3); STRONTIUM PERCHLORATE(13450-97-0); CALCIUM PERCHLORATE(13477-36-6); LEAD PERCHLORATE(13637-76-8); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
10118-76-0,CALCIUM PERMANGANATE,50,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); MAGNESIUM PERCHLORATE(10034-81-8); SODIUM PERMANGANATE(10101-50-5); OXYGEN(7782-44-7); MAGNESIUM CHLORATE(10326-21-3); ZINC CHLORATE(10361-95-2); T-BUTYL CHROMATE(1189-85-1); LEAD DIOXIDE(1309-60-0); ZINC PEROXIDE(1314-22-3); STRONTIUM PERCHLORATE(13450-97-0); CALCIUM PERCHLORATE(13477-36-6); LEAD PERCHLORATE(13637-76-8); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
7782-44-7,OXYGEN,50,reactive_basics,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); MAGNESIUM PERCHLORATE(10034-81-8); SODIUM PERMANGANATE(10101-50-5); CALCIUM PERMANGANATE(10118-76-0); MAGNESIUM CHLORATE(10326-21-3); ZINC CHLORATE(10361-95-2); T-BUTYL CHROMATE(1189-85-1); LEAD DIOXIDE(1309-60-0); ZINC PEROXIDE(1314-22-3); STRONTIUM PERCHLORATE(13450-97-0); CALCIUM PERCHLORATE(13477-36-6); LEAD PERCHLORATE(13637-76-8); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
7553-56-2,IODINE,51,wave1,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 요오드 적정,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
132259-10-0,"AIR, COMPRESSED",50;51,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음 | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
10048-95-0,SODIUM ARSENATE HEPTAHYDRATE,51;61,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 10종과 역할 중복 가능: FERRIC ARSENATE(10102-49-5); SODIUM SELENATE(13410-01-0); SODIUM VANADATE(13718-26-8); POTASSIUM METAVANADATE(13769-43-2); CALCIUM SELENATE(14019-91-1); SODIUM ARSENATE(7631-89-2); CALCIUM ARSENATE(7778-44-1); MERCURIC ARSENATE(7784-37-4); BARIUM SELENATE(7787-41-9); POTASSIUM SELENATE(7790-59-2)
10102-49-5,FERRIC ARSENATE,51;61,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 10종과 역할 중복 가능: SODIUM ARSENATE HEPTAHYDRATE(10048-95-0); SODIUM SELENATE(13410-01-0); SODIUM VANADATE(13718-26-8); POTASSIUM METAVANADATE(13769-43-2); CALCIUM SELENATE(14019-91-1); SODIUM ARSENATE(7631-89-2); CALCIUM ARSENATE(7778-44-1); MERCURIC ARSENATE(7784-37-4); BARIUM SELENATE(7787-41-9); POTASSIUM SELENATE(7790-59-2)
1303-28-2,ARSENIC PENTOXIDE,5;15;51,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
1312-03-4,"MERCURIC SUBSULFATE, [SOLID]",42;51;61,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
100-64-1,CYCLOHEXANONE OXIME,52,wave1,REPRESENTATIVE,CAMEO 그룹 52(Oximes) 대표물질 — 426종 내 이 그룹 확보물질 1종뿐,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)",INDEPENDENT,유지 권고,"희소 그룹: 52(Oximes) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
105-64-6,DIISOPROPYL PEROXYDICARBONATE,53,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 1종과 역할 중복 가능: LAUROYL PEROXIDE(105-74-8) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
105-74-8,LAUROYL PEROXIDE,53,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 1종과 역할 중복 가능: DIISOPROPYL PEROXYDICARBONATE(105-64-6) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
131-52-2,SODIUM PENTACHLOROPHENATE,16;54,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
101-18-8,3-HYDROXY-N-PHENYLANILINE,14;55,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음 | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
10169-02-5,C.I. ACID RED 97,17;55;61;66,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
105-60-2,CAPROLACTAM,12;56,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음 | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
106-87-6,1-VINYL-3-CYCLOHEXENE DIOXIDE,26;56,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
112-02-7,HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,47;57,wave1,REPRESENTATIVE,CAMEO 그룹 57(Quaternary Ammonium and Phosphonium Salts) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)",INDEPENDENT,유지 권고,희소 그룹: 57(Quaternary Ammonium and Phosphonium Salts)
1762-95-4,AMMONIUM THIOCYANATE,58;60;68,wave1,MANDATORY,커리큘럼 실사용 근거: 무기화학 / 착물 색반응,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
10039-54-0,HYDROXYLAMINE SULFATE,58;60,wave1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer",msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
10026-17-2,COBALT FLUORIDE,59;61,wave1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer",msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
