substance,cas,selection_category,selection_reason,cameo_group,evidence_basis
"ZINC CHLORIDE, ANHYDROUS",7646-85-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",3;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
AMMONIA,7664-41-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: water",19;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"SODIUM BISULFATE, SOLID",7681-38-1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",60;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
SODIUM FLUORIDE,7681-49-4,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",61;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
WATER,7732-18-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: water",68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
SODIUM CHLORITE,7758-19-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;water), 위험상호작용: oxidizer",50;61,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"FERROUS CHLORIDE, SOLID",7758-94-3,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer;water",58;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
LEAD CHROMATE,7758-97-6,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: oxidizer",50;61,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"STANNOUS CHLORIDE, SOLID",7772-99-8,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer",58;60,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
POTASSIUM BISULFITE SOLUTION,7773-03-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: water",65;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"ARSENIC ACID, LIQUID",7778-39-4,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: oxidizer;water",5;51;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
POTASSIUM HYPOCHLORITE SOLUTION,7778-66-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: oxidizer;water",50;61;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
SELENIOUS ACID,7783-00-8,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: oxidizer",5;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
IODINE PENTAFLUORIDE,7783-66-6,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal;water), 위험상호작용: oxidizer",32;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"ALUMINUM PHOSPHATE, SOLUTION",7784-30-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",60;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
BARIUM SELENATE,7787-41-9,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: oxidizer",51;61,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"CHROMIC FLUORIDE, SOLID",7788-97-8,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",61;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
POTASSIUM BIFLUORIDE,7789-29-9,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",29;60;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
MERCURIC BROMIDE,7789-47-1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: metal",42;47,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
PHOSPHORUS TRIBROMIDE,7789-60-8,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal;water), 위험상호작용: reducer",3;58,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
ANTIMONY TRIBROMIDE,7789-61-9,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water), 위험상호작용: oxidizer",3;32;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
PHOSPHORUS PENTABROMIDE,7789-69-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal;water), 위험상호작용: oxidizer",3;32;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
IODINE MONOCHLORIDE,7790-99-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water), 위험상호작용: oxidizer",32;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
AMMONIUM METAVANADATE,7803-55-6,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: oxidizer",51;60,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
ACRYLAMIDE,79-06-1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal), 위험상호작용: water",6;12;56;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
FERROSILICON,8049-17-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
TRIBUTYLPHOSPHANE,998-40-3,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: reducer",14;59,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
LEAD NITRATE,10099-74-8,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 침전실험,43,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
BARIUM CHLORIDE,10361-37-2,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 황산염 침전정량,47,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
ACETIC ANHYDRIDE,108-24-7,MANDATORY,커리큘럼 실사용 근거: 유기화학 / 아세틸화 반응(발열주의),15,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
TOLUENE,108-88-3,MANDATORY,커리큘럼 실사용 근거: 유기화학 / 재결정/추출,35,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
HEXANE,110-54-3,MANDATORY,커리큘럼 실사용 근거: 유기화학 / 추출 용매,33,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
"POTASSIUM HYDROXIDE, SOLUTION",1310-58-3,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 적정/전해질,18;68,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
SODIUM HYDROXIDE SOLUTION,1310-73-2,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 적정/비누화,18;39;68,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
AMMONIUM HYDROXIDE,1336-21-6,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 착물형성/완충,19;68,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
SODIUM BOROHYDRIDE,16940-66-2,MANDATORY,커리큘럼 실사용 근거: 유기화학 / 환원반응,18;39;68,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
AMMONIUM THIOCYANATE,1762-95-4,MANDATORY,커리큘럼 실사용 근거: 무기화학 / 착물 색반응,58;60;68,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
UREA,57-13-6,MANDATORY,커리큘럼 실사용 근거: 무기화학 / 완충/염기반응,12;19;43;60,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
EDTA,60-00-4,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 킬레이트 적정(EDTA),2;14,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
ETHYL ETHER,60-29-7,MANDATORY,커리큘럼 실사용 근거: 유기화학 / 추출 용매(과산화물 형성주의),28,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
ETHANOL,64-17-5,MANDATORY,커리큘럼 실사용 근거: 유기화학 / 재결정 용매,5;8;24;56,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
ACETIC ACID,64-19-7,MANDATORY,커리큘럼 실사용 근거: 유기화학 / 에스테르화 반응,2;68,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
ACETONE,67-64-1,MANDATORY,커리큘럼 실사용 근거: 유기화학 / 세척/추출 용매,38,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
COPPER,7440-50-8,MANDATORY,커리큘럼 실사용 근거: 물리화학 / 갈바니 전지(구리),42,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
ZINC ASHES,7440-66-6,MANDATORY,커리큘럼 실사용 근거: 물리화학 / 갈바니 전지(아연),41,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
POTASSIUM CHLORIDE,7447-40-7,MANDATORY,커리큘럼 실사용 근거: 물리화학 / 전도도/전기화학 셀,47,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
IODINE,7553-56-2,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 요오드 적정,51,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
HYDROCHLORIC ACID,7647-01-0,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 산-염기 적정,3;68,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
SULFURIC ACID,7664-93-9,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 산-염기/탈수,4,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
NITRIC ACID,7697-37-2,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 산화반응,4,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
FERRIC CHLORIDE,7705-08-0,MANDATORY,커리큘럼 실사용 근거: 무기화학 / 착물합성/페놀검출,3;68,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
POTASSIUM PERMANGANATE,7722-64-7,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 산화환원 적정,50,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
HYDROGEN PEROXIDE,7722-84-1,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 산화환원반응(자기반응성 주의),50;68,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
CUPRIC SULFATE,7758-98-7,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 착물형성/전기화학,60,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
SILVER NITRATE,7761-88-8,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 침전적정(할로겐 정량),43,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
SODIUM THIOSULFATE,7772-98-7,MANDATORY,커리큘럼 실사용 근거: 분석화학 / 요오드 적정 환원제,65,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
NICKEL SULFATE,7786-81-4,MANDATORY,커리큘럼 실사용 근거: 무기화학 / 착물합성,60,curated_curriculum (build_undergrad_target_list.py CURATED_LIST)
CYCLOHEXANONE OXIME,100-64-1,REPRESENTATIVE,CAMEO 그룹 52(Oximes) 대표물질 — 426종 내 이 그룹 확보물질 1종뿐,52,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
ISOPROPYL-N-(3-CHLOROPHENYL)CARBAMATE,101-21-3,REPRESENTATIVE,CAMEO 그룹 20(Carbamates) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,16;20,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
"DIPHENYLMETHANE-4,4&#39;-DIISOCYANATE",101-68-8,REPRESENTATIVE,CAMEO 그룹 37(Isocyanates and Isothiocyanates) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,37,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
TRIALLYL ISOCYANURATE,1025-15-6,REPRESENTATIVE,CAMEO 그룹 37(Isocyanates and Isothiocyanates) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,34;37,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
MALEIC ACID,110-16-7,REPRESENTATIVE,CAMEO 그룹 23(Conjugated Dienes) 대표물질 — 426종 내 이 그룹 확보물질 1종뿐,2;23;34,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,112-02-7,REPRESENTATIVE,CAMEO 그룹 57(Quaternary Ammonium and Phosphonium Salts) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,47;57,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
2-METHYL-2-HYDROXY-3-BUTYNE,115-19-5,REPRESENTATIVE,"CAMEO 그룹 10(Alkynes, with Acetylenic Hydrogen) 대표물질 — 426종 내 이 그룹 확보물질 1종뿐",8;10,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
3-NITRO-4-CHLOROBENZOTRIFLUORIDE,121-17-5,REPRESENTATIVE,CAMEO 그룹 30(Fluorinated Organic Compounds) 대표물질 — 426종 내 이 그룹 확보물질 1종뿐,16;30;46,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
CARBON DIOXIDE,124-38-9,REPRESENTATIVE,CAMEO 그룹 48(Not Chemically Reactive agents) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,5;48,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
SODIUM ALUMINOSILICATE,1344-00-9,REPRESENTATIVE,CAMEO 그룹 62(Siloxanes) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,61;62,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
WOLLASTONITE,13983-17-0,REPRESENTATIVE,CAMEO 그룹 62(Siloxanes) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,19;61;62,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
TRICHLORO(CHLOROMETHYL)SILANE,1558-25-4,REPRESENTATIVE,CAMEO 그룹 22(Chlorosilanes) 대표물질 — 426종 내 이 그룹 확보물질 1종뿐,22;31,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
METHYLENE BLUE TRIHYDRATE,7220-79-3,REPRESENTATIVE,CAMEO 그룹 57(Quaternary Ammonium and Phosphonium Salts) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,14;35;57;64,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
NITROGEN,7727-37-9,REPRESENTATIVE,CAMEO 그룹 48(Not Chemically Reactive agents) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,26;48;56,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)"
